,text
249,"@JcpereiraCantv Cuándo llegará la fibra óptica de cantv acá en Punto Fijo, Estado FALCÓN. La GPON es la solución a la avería masiva de 5 años en el Sector Nuevo Pueblo NORTE. Más de 300 suscriptores con avería masiva, por robo de cable de 300 pares."
250,BCV baja presión a la banca por no vender a tiempo divisas inyectadas al mercado oficial https://t.co/UOOJEtFpVf https://t.co/A3WOdSUn5q
251,"Montaña (Andina): Dubán Bobadilla (Herrera Team)

Sprints especiales (Talentos Colombia): Steven Cuesta (Sundark Arawak)

Líder sub-23 (Alcaldía de Bogotá): Rafael Pineda (Colnago CM Team)

Mejor novato (ManzanaPostobon): Carlos Romero (Néctar Cundinamarca)

Fotos: @edergarces7 https://t.co/CsCAUxiOns"
252,"@salasrluis76 No pueden sugestionar tu compra, y si Luis así están haciendo usan el valor del dólar del bcv a conveniencia, ayer tuve la oportunidad de comprar unos medicamentos en una farmacia, si pagas en divisas y no tienen vuelvo en divisas prácticamente debes usar el billete completo."
253,"@Mippcivzla @EneidaLayaPsuv @almacaracas @luis_villegasr @Inpsasel_vzla @MinEcoFinanzas @delcyrodriguezv @SENIAT_Oficial @sundde_ve @delcyrodriguezv por favor envíen a mas tardar hoy supervisores a petare. los chinos y demás colocan el valor del $ por el punto d venta desde 5,2 5,5 5,7   muy por encima del BCV. OBLIGARLOS A COLOCAR CARTELES CON EL LOGO del BCV EN CADA CAJA REGITRADORA LA TAZA DEL del dia SOS"
254,"@PartidoPSUV Buenos días camaradas haci cómo le han dado ministerios a precandidato a la gobernación que no ganaron las internas necesitamos que contenten al pueblo del tachira y le den un ministerio al camarada LEONARDO SALCEDO ""Venceremos"""
255,"@intelig67076526 @MILICIAFALCON1 @arichacan ADI. 124 ARICHACA
APDI. Parroquia Tucacas municipio Silva
Soldados de esta gloriosa revolución seguiremos rodilla en tierra unidad lucha y batalla
Venceremos"
256,"#NotiMinAguas 🗞️ | Pueblo Trabajador del Agua de @Hidrocentro2011 reparó fuga de agua potable a través de la sustitución de 4 mts lineales de tubería de 12"" en la autopista Sorpresa Muelles, beneficiando a más de 5 mil habitantes del mcpio. Puerto Cabello, edo. #Carabobo https://t.co/iBSEGl9Zw7"
257,"La #GNBFalcón realizó Despliegue con el fin de garantizar el cumplimiento de las medidas de Bioseguridad. 
#31Mar #FANB #GNBApure
#TodosContraElVirus
#GNByPuebloAlerta
#FANBEnDefensaDeLaDignidad 
.@NicolasMaduro 
.@cmdtegralgnb
.@GNBGDjuvenal
@LopezvargasR https://t.co/Q7fUQndVp0"
258,"Dos de los equipos que mejor fútbol brindaron durante todo el torneo se quedan afuera en la última fecha. Así de impredecible es este deporte. Carabobo y Gran Valencia, demostraron que se puede ir a buscar los partidos en cualquier campo. El fútbol ya les dará su revancha."
259,"El personal del gremio de Educación del estado Táchira, se ha vacunado contra el covid, por medio del Sistema Patria y del Operativo adelantado por la Zona Educativa. Actualmente se atienden diversos municipios.

@_LaAvanzadora 
@MervinMaldonad0 
@charlychaves 
@FreddyBernal"
260,"Sin servicio de voz ni datos trayecto #Chichiriviche #Tocuyo #Sanjuandeloscayos motivo desconocido.
@salaprensaCantv @arepatecnologia
Caído #Cantv en toda esa zona."
261,@GNBCmdtGral @GNB41_CARABOBO @Rivera_bastardo @gnb_paceltoro  venceremos
262,"#20Agos #Tachira Desde el Municipio Ayacuho se desarrolla Jornada de Mantenimiento Preventivo continuando con el plan de Escuelas Abiertas en Agosto Bicentenario
@MPPEDUCACION
 @yelitzePSUV_
@ZonaEducTachira
 @charlychaves
 @Juntosxtachira1
@FreddyBernal https://t.co/OFonae1NVr"
263,"Para rechazar negativa del Gobierno Nacional en la firma Del acta convenio que reivindique a trabajadores de la salud, ayer miércoles, agremiados a SIRTRASALUD #Falcón realizaron protestas en dependencias administrativas de los diferentes centros asistenciales del estado. https://t.co/HN5aEIiQOa"
264,El #Psuv en Táchira inscribió los candidatos a las 29 alcaldías y a la gobernación @FreddyBernal en un acto respaldado por la militancia chavista.Rumbo al #21Nov https://t.co/g48jRfSIiy
265,"Carabobo Te Quiero realizó jornada de saneamiento intensivo en C.D.I. La Manguita

#VacunarseDependeDeTi

https://t.co/HlimQq6R5G https://t.co/3hLkpKUZr1"
266,Hola. Cómo hago para actualizar el número de teléfono sin ir al banco? 
267,"#ENTÉRATE📣| El #28Oct inicia el XV Festival Mundial de Poesía de Venezuela 🇻🇪 que reunirá a los 5 continentes en el grito libertario de #Carabobo a 199 años del poema: Mi Delirio Sobre el Chimborazo, del Libertador Simón Bolívar 

#23Oct https://t.co/9hpO6ITcQm"
268,Desde la @LaVozDeSucre_ 🎙️ Informo El Alcalde del Municipio Cruz Salmeron Acosta @jjAcosta2021: Más de 5 mil familias serán atendidas con la Fiesta del Gas en Araya https://t.co/1lciUSV4El
269,"Sres. @CorpoelecCarabo @CorpoelecInfo La ciudadanía entera d Carabobo,específicament la d San Diego NECESITA SOLUCIONEN el abuso con los cortes d luz TODOS LOS DÍAS  se va por 4 y 12 horas!Hasta cuándo! No hay excusas,Años y NO SOLUCIONAN @NicolasMaduro @rafaellacava10 @mppeevzla"
270,@Banesco Gracias !!!
271,Pero como puede ser falso si desde temprano los puntos no.funcionan....aclaren que pasa y se evitan especulaciones .
272,@CorpoelecCarabo @CorpoelecInfo @Corpoelec_Arag @mppeevzla Sin servicio de luz en ciudad alianza guacara Estado carabobo hecho en socialismo mas de 2 hora y nada
273,"El problema del país no es sólo si gobierno, es su gente también. Y si a juzgar por algunos trabajadores de #Banesco vamos, pues se entiende perfectamente que Venezuela esté como esté."
274,"Laidy Gómez tal como se expresa convence. Según los testimonios de tachirenses que conozco, es una mujer trabajadora, amplia de pensamiento y ecuanime.
De ser así, espero repita en la gobernación del Táchira y de ahí para la presidencia.
#LaidyGomezALa1"
275,"¡La Patria para nosotros es todo!, es por eso que la #FANB no descansará en su deber de defender la Patria y sus instituciones. #19Abr #AbrilDeFuegoPatrio #YoSoyFanb #GNBFalcón https://t.co/jyU6nc7g2n"
276,"Sepa por cuánto tiempo se podrá mantener el precio del dólar alrededor de 4 bolívares -  #10Oct/, https://t.co/bDjHppvj70"
277,@laidygomezf Tu bernalacran. Hay q tener moral..este señor reconoció maduro y obedeció a una irrita sentencia del ilegitimo TSJ. Así q no hable porque se le chispea la cara
278,"@Banesco Realicé 2 pago movil y dieron ambos dieron error y los debitaron, el dinero no cayó en el banco receptor https://t.co/eQKICxtyzz"
279,@CaraotaDigital Enviarán a los de Punto Fijo?? Son todos de la 3a edad en vías de desnutrición y no pueden con el peso de un fusil
280,"Eso abierto es dilema que un día Venezuela no reciba cambios de moneda física y decida digitalizar su moneda. Desde Táchira y esos pueblos serán arrastrados como satélite de comunicación en la gravedad. ""Bolívar digital"" es una realidad. https://t.co/yK473ZGnWe"
281,@BCV_ORG_VE ¿Soltaron al dólar?
282,"El diputado al Consejo Legislativo de #Carabobo, Arvilio Hidalgo, señaló que el Ejecutivo nacional debió establecer medidas económicas complementarias con la entrada en vigencia de la reconversión monetaria.

#ReconversionMonetaria

#Reconversion #RumboAlBolivarDigital

(2/6)"
283,EN CARABOBO: Operación de rescate de un comerciante dejó tres secuestradores abatidos https://t.co/o9pUhScD3L
284,"🛑La .@GNBunidad_vial se mantiene Activa en el Km-144 de la #ARC estado #Carabobo, Garantizando Seguridad y Auxilio Vial a los usuarios de tan importante arteria vial.

#10Oct #G.N.B #FANB
@GNBCmdtGral
@vladimirpadrino
.@Viloriarca1
#SimulacroElectoral https://t.co/MD85dErhUm"
285,@rmfinanzasve @BcodeVenezuela Mi número de cédula es 14361015. Esto es el colmo que mientras estén celebrando con vinos y demás ustedes tienen mi dinero retenido. Como juegan con las necesidades del ciudadano comun.
286,Táchira: 5ta y 7ma avenida de San Cristóbal llenas de basura https://t.co/UP51sZBbH2
287,No tienen verguenza   ahora si necesitan del pueblo cuando se reparten lo que le roban al venezolano ... No piensan en el pueblo si comen o no... Cara dura ...  
288,Encuentran dos cabezas humanas en una plaza del estado Bolívar https://t.co/iAI41TOYUe  #SUCESOS
289,"Ya es hora de abrir y corredor humanitario para los estudiantes de ciudades fronterizas venezolanas.
Hay colegios en Cúcuta que ya regresaron a presencialidad, y éstos estudiantes aún no lo pueden hacer.
Ya no más riesgo ni humillación al tener que pasar por el río Táchira."
290,"mas de 120 dias sin inter #19129106, Urb. ricado urriera, Valencia Carabobo,#Aba_cantv_Reportes @ContactoCantv"
291,"@nicolasmaduro AÚN SIN RECIBIR RESPUESTA! Trabajadores de CORPOSALUD TÀCHIRA activos,incapacitados y jubilados, adscritos a Gobernación, espera el PRONTO PAGO de la Retroactividad desde mayo,aprobados en Acta Convenio del 21-06-2021para sufragar gastos de primera necesidad"
292,"Hospital de Táriba en emergencia por la basura
#06Sep #tachira #lasprimicias #Cardenas #táriba  #HospitalTáriba #emergencia #basura https://t.co/xmosMDwoE1"
293,"#15Oct #RegionesEnLaMira | @RobertLobo_: En el estado Carabobo, una banda fue detenida por presuntamente dedicarse a la trata de personas, llevaban a los adolescentes a Colombia para que fueran prostituidos en el vecino país. https://t.co/6S38Nc3TBU"
294,@junior_pedregal Pero luego recuerdo que ya cambiaste amigo.  Me retracto!!
295,"Hoy la Candidata a Diputada Local Por el Distrito XXXII  Sofía García Silva visitó a los vecinos de Pedregal de la Zorra. En Coyoacán #LaRutaProgresistaVa 
#RSPCoyoacán 
#RSPCDMX 
#JuntosAdelante 
#SanarAMexico https://t.co/AyDylIbwNn"
296,Después de un año de pandemia llegamos al punto donde quedarme con el cambio de las tortillas es mi único ingreso fijo.
297,"Estamos en reunión con la Asociación Nacional de Supermercados y Abastos (Red Ansa), para conversar acerca del encadenamiento productivo, mantener los precios acordados y que se cumplan  @BCV_ORG_VE. 
#MonómerosEsDeVenezuela 
@NicolasMaduro @EneidaLayaPsuv @ejalvarezg @3mZonia https://t.co/E4g33CRjav"
298,"@usembassyve Península de Paraguana,  Estado Falcon, uno de los lugares más hermosos de Venezuela y sus playas maravillosas, en las noches con cielo que se pueden tocar las estrellas..."
299,"Entre el ""Banco Central del Táchira"" y que aun estando inhabilitado @elgochoceballos haya decidido decir públicamente que quería ser gobernador del estado deja todo escrito de la política de este país. 

¡Vergonzoso!"
300,"Es posible que algunos no noten diferencia alguna entre un @jguaido o un @RobertoPatino y una @laidygomezf . Yo si la noto. Hay como un sentido de independencia, de consecuencia, de coherencia, y por que no decirlo, de valentia, en ella, que no veo en ellos."
301,Excelente
302,"CON MÁXIMO COMPROMISO PATRIO! 👊🇻🇪
#17Oct 🎥 El MG Juvenal Fernández López @GNBCmdtGral, realizó visita en el Comando de Zona @GNB41_CARABOBO acompañado del @Rivera_bastardo.
#GNBAragua
#LaVerdadSiempreTriunfa
#PuebloYCEOFANBVenceremos
#GNBAraguaDCR427
 https://t.co/OjLVlB3PNG"
303,El carabobo fc no tiene aficionadas así =( https://t.co/lfVyCWqhzn
304,"TELENOCHE MOSTRÓ LA DURA REALIDAD DE MERLO: INSEGURIDAD Y ABANDONO MUNICIPAL

Telenoche hizo una recorrida por el municipio mas abandonado de la Provincia de Bs. As. Esta vez recorrió Agustín Ferrari y Mariano Acosta. https://t.co/Mlg6zms1k4"
305,tuve un ataque de angustia gigante y ahora estoy mirando un punto fijo en la pared mientras como una hamburguesas con cheddar y papas como si nada hubiese pasado.
306,Pésima broma: Influencer ingresó a tienda con mascarilla pintada y ahora arriesga ser deportada https://t.co/g1ZRQRbz5l
307,"CON MÁXIMO COMPROMISO PATRIO! 👊🇻🇪
#17Oct 🎥 El MG Juvenal Fernández López @GNBCmdtGral, realizó visita en el Comando de Zona @GNB41_CARABOBO acompañado del Cmdte de Zona GB @Rivera_bastardo.

#LaVerdadSiempreTriunfa
#PuebloYCEOFANBVenceremos https://t.co/zUWDBuqCxy"
308,Conozca el precio del dólar del BCV este 6 de octubre de 2021 https://t.co/AAc7FhiAvw
309,"Mensaje de GJ .@vladimirpadrino, en ocasión de conmemorarse los sucesos ocurridos el 27 de febrero de 1989.
 https://t.co/Mtu4e26zHL https://t.co/CneWL0TcVc #FANB #GNBFalcón
#27FRebeliónVictoriosa
#GNByPuebloVencedores
.@NicolasMaduro 
.@cmdtegralgnb
.@GNBGDjuvenal
.@LopezVargasR"
310,"@BcodeVenezuela Hola buenas noches, el presente tweet es para preguntar sobre este problema en la App de BDVdigital, intento ingresar y no me deja https://t.co/YfGs58yfkj"
311,#ServicioPublico @CorpoelecInfo @NicolasMaduro En este Instante Habitantes de San Félix Reportando 7 apagón Blackout en toda San Félix Estado Bolívar ya son 4 horas del día de hoy sin Electricidad y con 3 Centrales Hidroeléctricas dentro de CIUDAD GUAYANA. 🆘🚨⚠️🆘🚨⚠️
312,Estoy despierto desde las 7 *se queda mirando un punto fijo*
313,"Cdi panamericano Tachira
#MmedicalCubanaTachira 
#HeroesDeLaSalud 
#ACubaPonleCorazon 
#CubaPorLaVida 
@CDIPanamerican1 https://t.co/dvPTGdGGiR"
314,"@natdupeyron 
 ayudame a difundir caso acoso NO penado que decepcionante que ante la situación actual acto de acoso por un director de área sólo tenga como consecuencia un acta administrativa Jaime Sánchez director de sistemas en hospital Ángeles Pedregal es acosador y patán"
315,"Miemtras tanto Néstor Morales y blu radio mordiéndose el codo.

https://t.co/n7uKFZYYRM"
316,Estamos agobiados por falta de agua @Hidrocentro2011 nos tiene casi 7 días #SinAgua en la zona norte de Valencia #Carabobo y el covid-19 en ascenso en la entidad @rafaellacava10 @minaguasoficial @NicolasMaduro
317,Base Motor Renault Twingo 8v Derecha 1999 - 2005    35$ 04141755880 (estamos en tachira con sucursal Colombia) 100% seriedad y responsabilidad  #Caracas #Renault #Clio #Symbol #megane #Taller #Maturin #Tachira #barinas #Chacao #Petare #Logan #Martes
318,"DÓLARES manejan la economía VENEZOLANA: 
Dólar Today
Dólar BCV
Dólar de los comerciantes que es el que manda sin autoridad.
El comerciante haciendo lo que le da la gana, sin gobierno legítimo ni gobierno interino, nada nadita de nada! ¿Por quién voto? https://t.co/rdCsrV9zp8"
319,"@SENIAT_Oficial @TarekWiliamSaab @sundde_ve  En Ciudad Bolívar tenemos un comercio llamado ""El Económico"" rif J-317281616 que sabe burlar el sistema, publican el precio en $ bcv pero las cajas facturan en $ negro ⚫ ojo con esto señores. https://t.co/xAHes4Z0mB"
320,@Banesco Ya les respondí al privado
321,@NOTIFALCON En el municipio piritu baja 20 veces en el día y 90 veces en la noche (aprox) todos los días
322,"#INAMEHInforma Precipitación Total Estimada y Áreas con Potencial desarrollo de tormentas eléctricas en Centro Norte Costero; probabilidades (Líneas entrecortadas) sobre Carabobo, Aragua, La Guaira, Distrito Capital y Miranda. https://t.co/Ktpub32WCv"
323,19-10-2021 Trigaleña Valencia Carabobo sin agua ni luz. @Hidrocentro2011 @CorpoelecCarabo  ustedes no tienen recuperación posible por ponerlo elegante.....
324,"Acaba de publicar una foto en Bosque Tlalpan, el Pedregal. MX-DF https://t.co/jvzgCoqYBH"
325,"Descubre preferencias sexuales de su esposo e intenta quitarse la vida #PiedrasNegras 🚨🚑 

Una mujer se enteró que su marido sentía atracción por los hombres y se provocó lesiones en los brazos.

https://t.co/Vwu3mFvDNZ https://t.co/lvDh5r8oWN"
326,"@Deamestoy @josesalloumk @genherr15 En Venezuela para ir a visitar a mi MADRE en Upata Estado Bolivar me fui en un taxi desde Caracas y tuve que pasar por 33 alcabalas antes de llegar , debo confesar que las mujeres policias son muy crueles y mal educadas el trato que le dan a la gente joven es humillante"
327,#SUCESOS Al calabozo sexagenario que manoseó a una adolescente en Punto Fijo https://t.co/KZTOUzejKM
328,@churuguara Hay gente más peligrosa en Aragua que arrechera política contra gente inocente vamos @_Provea creo que se requiere su ayuda @AsambleaVE @TAMARA_SUJU
329,"CEM Valmore Rodríguez Valencia sigue dando el msj de optimismo y de UNIDAD plena en Carabobo, los ADecos que respaldamos la institucionalidad, los que apostamos por ""Una Venezuela libre y de los Venezolanos"" votaremos este 21n por la tarjeta la MUD, la Manito Azul. UNIDAD plena. https://t.co/QKWaoa6qq8"
330,"Secuestraban a menores en Caracas y Carabobo para luego prostituirlos en Colombia
https://t.co/KuVwcA2lvX"
331,"PARAGUANÁ es la capital económica de Falcón, representa la mayor palanca para nuestro desarrollo.

La miopía de muchos de quienes la han conducido los destino, no lo han entendido así.

Paraguana está destinada al éxito, estoy convencido que así será.

¡Dios bendiga a  Falcón! https://t.co/bmbBXlGwyb"
332,"Qué fructífero encuentro sostuve con Fedecámaras y las 13 Cámaras de Comercio del #Táchira, donde sumamos propuestas para la recuperación económica en el marco de los acuerdos para la apertura gradual y progresiva de la frontera entre nuestra entidad y Norte de Santander. https://t.co/SnWOOZF20q"
333,"#NOTICIAS | 📹 Un #abuelito le cantó las mañanitas a su nieto desde #EaglePass, Texas, mientras su nieto Santiago lo escucha del otro lado del río Bravo, en #PiedrasNegras, Coahuila.

➡️ https://t.co/fnC2604IhB https://t.co/ejiw3JOgvY"
334,"#Tachira detienen 3 cddnos  y retención de 01 vehículo tipo gandola con compartimento secreto, para el posible tráfico de sustancias ilícitas.
#21Ago #GNB #CEOFANB
#UnidadLuchaYVictoria
#GNByPuebloVenciendo
#FANByPuebloDePaz
.@NicolasMaduro
.@GNBCmdtGral
 https://t.co/8YHMyJSVn6"
335,"@CFE_Contigo Fuentes del Pedregal,  Alcaldía de Tlalpan sin luz desde hace dos horas. Que pasa?"
336,@NoticiasFalcon @TarekWiliamSaab Está loco
337,"El #IVSS presente en la comunidad de El Rincón, en el municipio Libertador del estado Carabobo; en el marco del Plan de Amor en Acción a las Víctimas de la Guerra Económica que nos ha orientado nuestro pdte. @NicolasMaduro #JuntosSomosMás #PorUnSeguroMásSocial @MagaGutierrezV https://t.co/YRzCED2SLh"
338,"TODOS CONTRA UNO COMO BRUNO, TODOS CONTRA EL PEOR: TU DESTRUCTOR, NI PINTURITAS QUE SE CAEN DE AGUA.  NI TONINAS MENTIROSAS DE LINGUISTICA Y CONTENIDO LIMITADO REPETITIVO AL MEJOR ESTILO DE LA Q  NADIE SABE Q HIZO EL DINERO PARA ""BAÑARNOS"" EN EL GUAIRE, LA MISMA Q GRITABA Y PATALEABA DESMONTANDO EL 30 DE DICIEMBRE DE 2012, LA TARIMA Y LOS ACTOS DE LA PLAZA BOLIVAR... QUÉ SILENCIO, Q ENCUBRIMIENTO, QUÉ COMPLICIDAD TAN SATÁNICA.....SON IGUALES, ENGORDAN Y SE REVIENTAN CON EL PAN Y EL SUEÑO DE LOS VENEZOLANOS....VOTA INTELIGENTE, SI ESTAS MUY BRAVO, VOTA CONTRA EL PEOR,,,, TOMEMOS PAMPERITO CON EL LAPIZ EN MANO"
339,Daniel_RiosVE: Hispana habría sido asesinada a puñaladas por su propio novio en San Bernardino https://t.co/NeMj2z6Nee #DanielRiosTeInforma #GacetaCarabobo #Carabobo #Venezuela
340,"@SudebanInforma @NicolasMaduro CON LA NUEVA REEXPRESIÓN MONETARIA VOLVIMOS A RETROCEDER YA CAJEROS AUTOMÁTICOS COMO BANESCO,BNC,NO ESTÁN DISPENSANDO EFECTIVO A :BCO.VZLA,BCO.BICENTENARIO,BANCAMIGA,ETC"
341,"En sesión para la exposición “Legado Jardines del Pedregal” junto a Luis Gordoa y Arturo Rivera 

(Click en las fotografías) 👇🏻

#shotoniphone https://t.co/gs1bMAtgns"
342,"Centinelas del .@GNB41_CARABOBO, realizarón la aprehensión de un (01) Cddno solicitado por el delito de Violencia de Género, A/O del @MinpublicoVE #GNBCaraboboSeguro #4Oct CEOFANBPorlaPatria #VacunaciónAbierta
#CentinelasDelPueblo
.@libertad003
.@GNBCmdtGral https://t.co/QkPJCfidlE"
343,"🪴Aprenda a cultivar alimentos en entornos urbanos.🪴 Participe en nuestros talleres presenciales, ¡SIN COSTO!📢Inscríbase aquí ➡ https://t.co/p0EAeZDZ5i ⬅ Invitan: Consulado de #Colombia en #NuevaYork y Colombia Nos Une de @CancilleriaCol.🇨🇴🇺🇸 https://t.co/oflhcPC2r5"
344,@vampipe Espero pasen pronro a bombardear por aca en pedregal https://t.co/xvULp1yH5D
345,@NellyverLugo @FreddyBernal @Juntosxtachira1 @Redi_andes @ZODI_TACHIRA @TareckPSUV Les sale bonito jugar con la necesidad de la gente
346,"Acaba de publicar una foto en Coro, Falcon https://t.co/kwu0KsLjL5"
347,Daniel_RiosVE: EEUU: cada vez más niños y adolescentes mueren baleados https://t.co/YdKWfBKWkS #DanielRiosTeInforma #Carabobo
348,"🇻🇪 | AHORA

Dos jóvenes salen ilesos luego del impacto de un rayo.

Un adolescente de 15 años y otro de 17 resultaron con lesiones leves luego de recibir el impacto de un rayo, mientras se resguardaban de la lluvia en un campo de beisbol en el estado Carabobo.
⁦@ReporteYa⁩ https://t.co/lgsYugn8r0"
349,"El .@FalconGnbcz mantiene despliegue en el territorio Falconiano, para garantizar la seguridad y la salud del pueblo. #3Abr 
#SputnikVGarantizaVida
#GNBGaranteDePaz 
#FANBEnDefensaDeLaDignidad
.@NicolasMaduro 
.@cmdtegralgnb
.@LopezvargasR
.@GNBGDjuvenal https://t.co/WwTg0Cy2fS"
350,"¡Conoce más sobre tu #USM!⁣
⁣
Nuestra sede en Barinas, fue inaugurada el 15 de noviembre del 2004, para dar respuesta a la demanda existente en formación universitaria y del desarrollo productivo del Estado.⁣⁣
⁣⁣
Hoy en día cuenta con 3 facultades y ofrece 6 carreras. https://t.co/TZMioo73KU"
351,Lacava: Este viernes se comenzará a bombear agua al norte de Valencia https://t.co/LCLALOSSQl #noticias #carabobo #venezuela https://t.co/fNHpwNcBxj
352,"BCV: Inflación de septiembre se ubicó en 7,1%, la más baja del año | #Economía |

https://t.co/9w24Wi7xlj"
353,"""Su premisa fundamental fue que Diario La Nación estuviera al servicio del Táchira: no había iniciativa de progreso y desarrollo que no contara con el decidido apoyo del diario""
 https://t.co/9dfNpSEijc"
354,"Carabobo tiene ataque, solo falta definición."
355,"Pues lo está..pregúntale y verás. Se fue con @adbernabe. En Táchira ella representa al gobierno de @nicolasmaduro. 
El que cobra por Miraflores es empleado de Miraflores. https://t.co/dtgZmYKHNT"
356,"Nos complace presentarles la inclusión de la cría de Codornices del Proyecto Avícola, el cual hace parte de la Agropecuaria CARABOBO. En nuestra casa estamos convencidos que PRODUCIR ES VENCER, por ello trabajamos diariamente por alcanzar el 100% de operatidad de la Agropecuaria https://t.co/cFF2Gjgzrb"
357,"@NicolasMaduro                      Corporación de Salud Tachira, agradece el Pronto Pago de Homologación adeudada a todos los trabajadores. Mayo, junio, julio, ya aprobada x acta convenio el 17-mayo 2021 y viendo la Inflación extrema que existe aquí en Venezuela."
358,"#SinLuz desde la 1:15 PM en Bello Monte, Parroquia Rafael Urdaneta del Municipio Valencia del Estado Carabobo"
359,"🥇Te invitamos a consultar el veredicto de la cuarta edición del Premio Lo Mejor de Nos, luego de evaluarse los 55 textos participantes 👉 https://t.co/eWHFfC7PVS 👏

#BanescoContigo #LVN #LoMejorDeNos"
360,"Considerados como aquellos espacios para hacer prácticas por parte de los estudiantes, los laboratorios de las universidades públicas en Táchira, se encuentran aniquilados debido a la falta de inversión por parte del gobierno nacional.
#25Ago 
https://t.co/GFFlhN399q"
361,"Alumbrado público en mal estado en Simón Bolívar entre holanda y Eliezer parada. Peligroso, en plena ciclovía corren riesgo los ciclistas, una persona o incluso una mascota. @MuniNunoa @EmiliaRiosS https://t.co/jfplteB1nh"
362,"@hhernandezluis @yosoyangelcr En Tachira, en la zona del Corozo, a 15’ de San Cristóbal, hay aguas termales. Desconozco si hay relación con algún volcán inactivo. Aunque obviamente, este hecho no ha sido inspiración para la letra de la canción."
363,"@RenteriaFiscal De hecho debería haber un solo impuesto para todos, un impuesto fijo sin relación a lo que ganes o no y un impuesto fijo generalizado al consumo y listo, paga más quien más consume punto. Paga menos quien más trabaje. Y el Gobierno para lo que fue hecho, para dar seguridad."
364,@picsandvideos1 @migueladuque58 @monitordolarvla Si chamo la ley sea por igual que bloqueen a BCV también manipuladores
365,Plan Cero Botes de Agua beneficia a 38.700 familias en Falcón https://t.co/Kx9r12RqQb https://t.co/PfmDsuCjvS
366,"#VielmaMora 

Dato: en las mesas cambiarías ellos son la banca privada los que fijan el precio del 💲 BCV que les parece pagan y se dan el vuelto. ⤵️ https://t.co/5tZcWs3rjH"
367,"@NellyverLugo @FreddyBernal @Juntosxtachira1 @Redi_andes @ZODI_TACHIRA @TareckPSUV La placa número 4 para motos tenemos unos 20 días sin surtir en SC, necesitamos combustible, avoquense a hacer el trabajo bien porfavor"
368,"¡Confirmado! Mañana por la 94.5 FM tendremos 2 invitados de lujo, el Ing Jesús Martínez Jefe de @UEMPPATachira y el Ing @JuansuarezR_ de @CiaraTachira con quienes conversaremos sobre la la Producción y la articulación con los #Clap en #Tachira 
#ClapTachiraSoberaniaAlimentaria https://t.co/598DX6IHki"
369,"CDI 19 de abril estado Bolívar ,Más que médicos, serán celosos guardianes de lo más preciado del ser humano; apóstoles y creadores de un mundo más humano. #CheMédicoInternacionalista #HéroesDeLaSalud #CubaPorLaVida #CubaCoopera @cubacooperaven @MINSAPCuba @japortalmiranda https://t.co/pHwstXvukH"
370,"de allí afecta a toda la actividad comercial de la zona. Lo peor es que la cotización del “dólar del BCV de Las Pulgas” sirve de referencia también para el comercio informal, abastos, mercaditos públicos, tiendas de barrio y todos los que se abastecen en el casco central y operan"
371,@laidygomezf Ese hombre va a la oficina cantv solo por calentar la silla pero no soluciona nada para arreglar esas lineas de cantv entonces las personas de la calle 3 en el cerro diagonal al antiguo banfoandes en la salida via al llano estan incomunicados ace años
372,"Un total de 01 tonelada de Material Ferroso fueron recuperados, gracias a las labores de patrullaje de los  efectivos castrenses de la .@GNB41_CARABOBO #GNBCaraboboSeguro #13Oct  PuebloPatriota
#MonómerosEsDeVenezuela
UnidosPuebloyGNBEsSoberanía
.@libertad003
.@GnbGaranteDePaz https://t.co/qQbXugbpUq"
373,"El .@FalconGnbcz mantienen constante monitoreo del cumplimiento de las medidas de bioseguridad en el territorio Falconiano. 
#12Abr #FANB #GNB
#GNByPuebloALaVanguardia
#PuebloComunicadorRebelde
.@NicolasMaduro 
.@cmdtegralgnb
.@GNBGDjuvenal
.@LopezvargasR https://t.co/4roo87APsV"
374,Veo a un punto fijo y ya empiezo a entrecerrar mis ojitos https://t.co/FRGNBEepEE
375,Debe especificar para q la gente entienda. Secuaces son guaido Leopoldo falcón rosales bertucci osea la falsa oposicion en todas sus mutaciones https://t.co/ML5gNNV3Qz
376,"Familiares de una de las víctimas habían denunciado que se estaban llevando a adolescentes con destino a Colombia con el fin de prostituirlos https://t.co/dq6tQag7uC

Por 🖊️@RCamachoVzla"
377,Suerte nisiquiera da el saldo 
378,Ceballos le debe al #Táchira muchas explicaciones que seguro no no va a dar... Otra duda... Y ahora cómo queda Williams Méndez? #12Sep https://t.co/CegZseI6CK
379,"#Atención || Estas son las piezas de la nueva Expresión Monetaria que coexistirán con los billetes del cono monetario actual, los cuales estarán en circulación hasta que el @BCV_ORG_VE determine.

¡Venezuela avanza hacia la Economía Digital! https://t.co/38qtDtFgRn"
380,"Agua natural, esencial para correcto funcionamiento del cuerpo, destaca Seguro Social
https://t.co/4rVK4t6uod
#PiedrasNegras #Salud https://t.co/x9m5mjBnI7"
381,"@BcodeVenezuela Todo este tiempo en una llamada para tratar de poner el reclamo del dinero que me debitaron y ni siquiera contento un operador... Que falta de respeto y ética de una institución que pertenece al ""PUEBLO"" https://t.co/l4HsIjQpZ3"
382,Fuerte bajón de electricidad en San Diego Edo Carabobo... Se va a acabar el mundo
383,@dougie_j_falcon @alice_gas This is *absurdly* a point of controversy in the evolutionary biology community 😂
